[0, 0, 0]
Id2-8_2 (1)	Time Ch_2 (1)	Vsurface_3 (1)	Time Ch_3 (1)	Id2-7_4 (1)	Time Ch_4 (1)	Id2-8_2 (2)	Time Ch_2 (2)	Vsurface_3 (2)	Time Ch_3 (2)	Id2-7_4 (2)	Time Ch_4 (2)	Id2-8_2 (3)	Time Ch_2 (3)	Vsurface_3 (3)	Time Ch_3 (3)	Id2-7_4 (3)	Time Ch_4 (3)	Id2-8_2 (4)	Time Ch_2 (4)	Vsurface_3 (4)	Time Ch_3 (4)	Id2-7_4 (4)	Time Ch_4 (4)
7.3702e-08	1.8457	9.4414e-05	1.0603	6.6366e-08	2.6887	1.0086e-07	1.6703	0.00012946	1.0598	8.2071e-08	2.0128	1.0639e-07	1.3373	0.00010014	1.0268	8.3693e-08	1.6798	1.0804e-07	1.337	0.00013089	1.0265	8.3867e-08	1.6795
1.1681e-07	4.0383	0.15008	3.7278	1.1667e-07	4.3731	1.4662e-07	3.1958	0.15009	3.0524	1.3182e-07	3.8641	1.495e-07	3.1958	0.15008	2.7524	1.3445e-07	3.5306	1.522e-07	2.863	0.15009	2.7195	1.3527e-07	3.1978
1.8502e-07	5.5563	0.3001	5.4128	1.9708e-07	5.724	2.189e-07	5.0468	0.30011	4.9033	2.1726e-07	5.2146	2.1972e-07	4.7133	0.30012	4.5698	2.2019e-07	5.2145	2.2428e-07	4.7145	0.30012	4.271	2.1815e-07	4.8822
2.8341e-07	6.9073	0.45015	6.7638	3.1913e-07	7.075	3.2679e-07	6.3978	0.45015	6.2543	3.4453e-07	6.5655	3.2742e-07	6.3973	0.45014	6.2538	3.4579e-07	6.565	3.3552e-07	6.065	0.45016	5.9215	3.4424e-07	6.5662
4.2717e-07	8.2583	0.60017	8.1149	4.8916e-07	8.426	4.8717e-07	7.7478	0.60018	7.6045	5.2243e-07	7.9155	4.917e-07	7.7473	0.60017	7.6039	5.2553e-07	7.915	4.9638e-07	7.749	0.60017	7.6055	5.1961e-07	7.9167
6.4246e-07	9.6093	0.75011	9.4658	7.2177e-07	9.7771	7.255e-07	9.0989	0.75012	8.9553	7.6401e-07	9.2666	7.3116e-07	9.0974	0.75011	8.9538	7.6674e-07	9.265	7.3702e-07	9.1	0.75011	8.9566	7.6311e-07	9.2678
9.678e-07	10.96	0.90014	10.817	1.0363e-06	11.295	1.092e-06	10.617	0.90015	10.306	1.0865e-06	10.952	1.1053e-06	10.614	0.90014	10.304	1.0902e-06	10.949	1.1074e-06	10.618	0.90014	10.308	1.085e-06	10.953
1.4825e-06	12.644	1.0502	12.334	1.4708e-06	12.812	1.6597e-06	12.135	1.0502	11.991	1.5356e-06	12.303	1.6798e-06	12.132	1.0502	11.989	1.5347e-06	12.3	1.6761e-06	12.136	1.0502	11.993	1.5227e-06	12.304
2.2943e-06	13.994	1.2002	13.851	2.0756e-06	14.162	2.5489e-06	13.486	1.2002	13.342	2.1628e-06	13.654	2.5744e-06	13.482	1.2002	13.339	2.1588e-06	13.65	2.5672e-06	13.487	1.2002	13.344	2.1322e-06	13.655
3.5752e-06	15.345	1.3503	15.202	2.9658e-06	15.513	3.9282e-06	14.837	1.3503	14.694	3.0934e-06	15.005	3.9697e-06	14.833	1.3503	14.69	3.0748e-06	15.001	3.9596e-06	14.838	1.3503	14.695	3.0308e-06	15.006
5.5016e-06	17.03	1.5002	16.586	4.3496e-06	17.198	5.9713e-06	16.188	1.5002	16.044	4.5011e-06	16.356	6.0099e-06	16.183	1.5002	16.04	4.4707e-06	16.351	5.9978e-06	16.189	1.5002	16.046	4.403e-06	16.357
8.2797e-06	18.38	1.6502	18.237	6.3656e-06	18.882	8.8219e-06	17.871	1.6502	17.428	6.6128e-06	18.039	8.8595e-06	17.534	1.6502	17.391	6.5188e-06	17.702	8.8176e-06	17.54	1.6502	17.397	6.4148e-06	17.708
1.2046e-05	20.231	1.8003	19.921	9.2241e-06	20.399	1.2647e-05	19.389	1.8002	19.079	9.4403e-06	19.89	1.2743e-05	19.386	1.8002	18.775	9.4197e-06	19.554	1.2562e-05	19.057	1.8003	18.747	9.2319e-06	19.225
1.6602e-05	21.583	1.9503	21.439	1.2776e-05	21.917	1.7298e-05	21.073	1.9503	20.93	1.3031e-05	21.408	1.731e-05	20.736	1.9503	20.593	1.3011e-05	21.405	1.7137e-05	20.742	1.9503	20.298	1.2841e-05	21.076
2.2086e-05	23.144	2.1002	23	1.6941e-05	23.311	2.2677e-05	22.591	2.1002	22.447	1.7172e-05	22.759	2.2774e-05	22.588	2.1002	22.444	1.7191e-05	22.755	2.262e-05	22.259	2.1002	22.116	1.6907e-05	22.76
2.8082e-05	24.495	2.2503	24.351	2.1578e-05	24.662	2.8647e-05	23.941	2.2503	23.798	2.1634e-05	24.109	2.8679e-05	23.939	2.2503	23.795	2.1556e-05	24.106	2.861e-05	23.943	2.2503	23.8	2.1269e-05	24.111
3.4461e-05	25.846	2.4003	25.702	2.6394e-05	26.013	3.4911e-05	25.292	2.4003	25.149	2.5807e-05	25.46	3.4944e-05	25.29	2.4002	25.146	2.6288e-05	25.457	3.4846e-05	25.293	2.4003	25.15	2.5726e-05	25.461
4.0936e-05	27.197	2.5503	27.053	3.0458e-05	27.364	4.1265e-05	26.643	2.5503	26.499	3.0025e-05	26.811	4.1266e-05	26.641	2.5503	26.497	3.1073e-05	26.808	4.1152e-05	26.644	2.5503	26.501	3.0035e-05	26.812
4.7194e-05	28.548	2.7003	28.404	3.4277e-05	28.715	4.7387e-05	27.993	2.7003	27.85	3.3894e-05	28.161	4.7405e-05	27.992	2.7003	27.848	3.4818e-05	28.159	4.7323e-05	27.994	2.7003	27.851	3.3695e-05	28.162
5.3003e-05	29.899	2.8503	29.755	3.7951e-05	30.066	5.3111e-05	29.344	2.8502	29.2	3.7325e-05	29.512	5.3124e-05	29.342	2.8502	29.198	3.8307e-05	29.509	5.2999e-05	29.345	2.8502	29.202	3.7022e-05	29.513
5.8124e-05	31.25	3.0003	31.106	4.0398e-05	31.417	5.8161e-05	30.694	3.0002	30.551	4.0116e-05	30.862	5.8177e-05	30.693	3.0003	30.549	4.0708e-05	30.86	5.8073e-05	30.696	3.0003	30.553	3.9913e-05	30.864

