[0, 0, 0]
Id2-8_2 (1)	Time Ch_2 (1)	Vsurface_3 (1)	Time Ch_3 (1)	Id2-7_4 (1)	Time Ch_4 (1)	Id2-8_2 (2)	Time Ch_2 (2)	Vsurface_3 (2)	Time Ch_3 (2)	Id2-7_4 (2)	Time Ch_4 (2)	Id2-8_2 (3)	Time Ch_2 (3)	Vsurface_3 (3)	Time Ch_3 (3)	Id2-7_4 (3)	Time Ch_4 (3)	Id2-8_2 (4)	Time Ch_2 (4)	Vsurface_3 (4)	Time Ch_3 (4)	Id2-7_4 (4)	Time Ch_4 (4)
6.3818e-08	1.8456	0.00010371	1.0603	5.8473e-08	2.6886	9.045e-08	1.8451	0.0001545	1.0597	7.1248e-08	2.1875	9.7531e-08	1.5122	0.00014234	1.0604	7.5654e-08	1.8548	9.7485e-08	1.5121	0.00015092	1.0603	7.5863e-08	1.8546
1.0056e-07	4.0393	0.15008	3.7287	1.0246e-07	4.3741	1.2976e-07	3.5378	0.1501	3.2274	1.1762e-07	4.2061	1.3407e-07	3.538	0.15011	2.8939	1.2021e-07	3.8728	1.3697e-07	3.2054	0.15012	2.8949	1.2432e-07	3.5402
1.5638e-07	5.5572	0.30011	5.4137	1.7218e-07	5.7249	1.9264e-07	5.3888	0.30013	5.2454	1.9352e-07	5.5566	1.9774e-07	5.0554	0.30012	4.912	1.9704e-07	5.5567	2.0065e-07	5.0569	0.30012	4.5799	2.0046e-07	5.2246
2.3642e-07	6.9083	0.45016	6.7648	2.761e-07	7.076	2.8628e-07	6.7398	0.45017	6.5963	3.0329e-07	6.9076	2.9324e-07	6.7394	0.45017	6.5959	3.06e-07	6.9071	2.975e-07	6.4074	0.45018	6.2638	3.118e-07	6.9086
3.5053e-07	8.2593	0.60018	8.1157	4.1969e-07	8.427	4.2348e-07	8.0909	0.6002	7.9474	4.5517e-07	8.2586	4.318e-07	8.0905	0.6002	7.947	4.5782e-07	8.2582	4.3618e-07	8.0914	0.6002	7.9479	4.6436e-07	8.2591
5.1381e-07	9.6103	0.75011	9.4667	6.0985e-07	9.7781	6.2013e-07	9.4419	0.75013	9.2983	6.5243e-07	9.6096	6.346e-07	9.4415	0.75013	9.2979	6.6299e-07	9.6092	6.404e-07	9.4424	0.75015	9.2989	6.6919e-07	9.6101
7.5771e-07	10.961	0.90014	10.818	8.5096e-07	11.129	9.1688e-07	10.793	0.90016	10.649	9.0903e-07	10.961	9.3868e-07	10.793	0.90017	10.649	9.2444e-07	10.96	9.4405e-07	10.793	0.90016	10.65	9.3304e-07	10.961
1.1339e-06	12.479	1.0502	12.169	1.1667e-06	12.814	1.3746e-06	12.31	1.0502	11.999	1.2404e-06	12.645	1.4077e-06	12.311	1.0502	12	1.2676e-06	12.645	1.4132e-06	12.312	1.0502	12.001	1.2763e-06	12.646
1.7193e-06	13.997	1.2002	13.854	1.589e-06	14.165	2.0811e-06	13.828	1.2002	13.684	1.6778e-06	13.996	2.1329e-06	13.829	1.2002	13.685	1.7241e-06	13.996	2.1527e-06	13.829	1.2002	13.686	1.7328e-06	13.997
2.6623e-06	15.348	1.3503	15.205	2.1655e-06	15.516	3.1856e-06	15.179	1.3503	15.035	2.2742e-06	15.347	3.2817e-06	15.179	1.3503	15.035	2.3573e-06	15.346	3.296e-06	15.18	1.3503	15.037	2.3647e-06	15.348
4.1578e-06	17.033	1.5002	16.589	2.976e-06	17.201	4.8873e-06	16.53	1.5002	16.42	3.1013e-06	16.698	5.029e-06	16.53	1.5002	16.42	3.2266e-06	16.697	5.0533e-06	16.532	1.5002	16.421	3.2039e-06	16.699
6.4449e-06	18.383	1.6502	18.24	4.0932e-06	18.885	7.3458e-06	18.214	1.6502	17.737	4.3548e-06	18.382	7.5204e-06	17.88	1.6502	17.736	4.4025e-06	18.047	7.559e-06	17.883	1.6502	17.739	4.3275e-06	18.05
9.6613e-06	20.067	1.8002	19.924	5.6037e-06	20.235	1.0799e-05	19.732	1.8003	19.421	6.0221e-06	20.233	1.106e-05	19.73	1.8003	19.086	6.0609e-06	19.898	1.1022e-05	19.4	1.8003	19.09	5.9224e-06	19.568
1.3933e-05	21.584	1.9503	21.274	7.6174e-06	21.752	1.5121e-05	21.416	1.9503	21.272	8.0584e-06	21.584	1.5287e-05	21.081	1.9503	20.937	8.0649e-06	21.582	1.5312e-05	21.084	1.9503	20.607	7.6871e-06	21.252
1.9033e-05	22.934	2.1002	22.791	9.9026e-06	23.102	2.0215e-05	22.767	2.1002	22.623	1.0337e-05	23.102	2.045e-05	22.765	2.1002	22.621	1.0392e-05	23.099	2.0505e-05	22.435	2.1002	22.291	9.8603e-06	22.936
2.4887e-05	24.285	2.2503	24.142	1.2441e-05	24.62	2.6034e-05	24.284	2.2503	24.14	1.2922e-05	24.452	2.6262e-05	24.283	2.2503	24.139	1.2845e-05	24.45	2.641e-05	24.119	2.2503	23.975	1.2256e-05	24.453
3.1359e-05	25.803	2.4003	25.659	1.5113e-05	25.97	3.2264e-05	25.634	2.4003	25.491	1.5439e-05	25.802	3.2481e-05	25.634	2.4003	25.49	1.4886e-05	25.801	3.2618e-05	25.636	2.4003	25.492	1.5012e-05	25.803
